Fight_ID,R_fighter,B_fighter,Winner,title_bout,B_current_streak,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_landed,B_total_time_fought(seconds),B_Stance,B_Height_cms,B_Reach_cms,R_streak,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_landed,R_total_time_fought(seconds),R_Stance,R_Height_cms,R_Reach_cms,B_age,R_age,R_Record,B_Record,B_Takedown_Diff,R_Takedown_Diff
1028,Cheick Kongo,Mostapha Al-Turk,Red,FALSE,0,,,,Orthodox,187.96,195.58,1,36.28571429,15.57142857,617,Orthodox,193.04,208.28,35,33,,,,
1027,Yushin Okami,Dean Lister,Red,FALSE,2,16,20.4,614.4,Orthodox,185.42,190.5,2,28.28571429,23.28571429,803.2857143,Southpaw,187.96,190.5,32,27,,,,
1026,Antoni Hardonk,Mike Wessel,Red,FALSE,0,,,,Orthodox,182.88,,2,18,12.4,348.8,Orthodox,193.04,198.12,31,32,,,,
1025,Matt Hamill,Reese Andy,Red,FALSE,-1,30,38,900,Orthodox,182.88,,-1,29.33333333,30.16666667,558.5,Orthodox,185.42,193.04,35,32,,,,
1024,Brad Blackburn,Ryo Chonan,Red,FALSE,1,29,33.5,900,Orthodox,175.26,177.8,1,53,9,449,Orthodox,177.8,185.42,32,31,,,,
1023,Pat Barry,Dan Evensen,Red,FALSE,-1,2,23,295,Orthodox,190.5,,0,,,,Orthodox,180.34,187.96,34,29,,,,
1022,Efrain Escudero,Phillipe Nover,Red,TRUE,0,,,,Orthodox,175.26,182.88,0,,,,Orthodox,175.26,177.8,24,22,,,,
1021,Ryan Bader,Vinny Magalhaes,Red,TRUE,0,,,,Orthodox,190.5,200.66,0,,,,Orthodox,187.96,187.96,24,25,,,,
1020,Anthony Johnson,Kevin Burns,Red,FALSE,2,22.5,31.5,672.5,Orthodox,177.8,187.96,-1,22.75,12.75,341,Orthodox,187.96,198.12,28,24,,,,
1019,Wilson Gouveia,Jason MacDonald,Red,FALSE,1,14.375,19.875,525.25,Orthodox,190.5,203.2,1,19.71428571,25.14285714,412,Orthodox,185.42,193.04,33,30,,,,
1018,Junie Browning,David Kaplan,Red,FALSE,0,,,,Orthodox,170.18,,0,,,,Orthodox,175.26,,29,24,,,,
1017,Krzysztof Soszynski,Shane Primm,Red,FALSE,0,,,,Orthodox,190.5,,0,,,,Open Stance,185.42,195.58,24,31,,,,
1016,Eliot Marshall,Jules Bruchez,Red,FALSE,0,,,,Southpaw,182.88,,0,,,,Orthodox,187.96,195.58,31,28,,,,
1015,Tom Lawlor,Kyle Kingsbury,Red,FALSE,0,,,,Orthodox,193.04,193.04,0,,,,Southpaw,182.88,187.96,26,25,,,,
1014,Shane Nelson,George Roop,Red,FALSE,0,,,,Orthodox,185.42,182.88,0,,,,Southpaw,175.26,177.8,27,24,,,,
1013,Rolando Delgado,John Polakowski,Red,FALSE,0,,,,Orthodox,177.8,,0,,,,Orthodox,190.5,195.58,27,27,,,,
1012,Josh Koscheck,Yoshiyuki Yoshida,Red,FALSE,1,1,1,56,Southpaw,180.34,177.8,-1,20.08333333,17.16666667,623.75,Orthodox,177.8,185.42,34,31,,,,
1011,Mike Swick,Jonathan Goulet,Red,FALSE,2,10.71428571,11.85714286,372.7142857,Orthodox,182.88,185.42,2,22.25,17.875,488.75,Orthodox,185.42,195.58,29,29,,,,
1010,Steve Cantwell,Razak Al-Hassan,Red,FALSE,0,,,,Orthodox,187.96,,0,,,,Orthodox,187.96,190.5,26,22,,,,
1009,Tim Credeur,Nate Loughran,Red,FALSE,1,1,7,261,Orthodox,187.96,,1,19,6,114,Orthodox,190.5,190.5,28,31,,,,
1008,Jim Miller,Matt Wiman,Red,FALSE,4,22.8,15.4,405,Orthodox,177.8,172.72,1,15,7,799,Southpaw,172.72,180.34,25,25,,,,
1007,Luigi Fioravanti,Brodie Farber,Red,FALSE,-1,18,6,97,Orthodox,185.42,,-1,24.57142857,25.85714286,653,Orthodox,172.72,177.8,28,27,,,,
1006,Steve Bruno,Johnny Rees,Red,FALSE,-1,7,1,261,Orthodox,182.88,,-1,5,47,900,Orthodox,177.8,,26,27,,,,
1005,Ben Saunders,Brandon Wolff,Red,FALSE,0,,,,Orthodox,175.26,,2,29.5,12,674,Orthodox,187.96,195.58,33,25,,,,
1004,Dale Hartt,Corey Hill,Red,FALSE,-1,31.5,12,437,Orthodox,193.04,203.2,-1,1,3,213,Orthodox,177.8,175.26,30,29,,,,
1003,Justin McCully,Eddie Sanchez,Red,FALSE,-1,28.2,27,456.2,Orthodox,187.96,187.96,-1,11.5,16,508.5,Orthodox,185.42,185.42,26,32,,,,
1002,Brock Lesnar,Randy Couture,Red,TRUE,2,34.94444444,15.88888889,760.5555556,Orthodox,185.42,190.5,1,30.5,5.5,495,Orthodox,190.5,205.74,45,31,,,,
1001,Kenny Florian,Joe Stevenson,Red,FALSE,1,19.125,19.75,559.125,Orthodox,170.18,177.8,5,24.9,15.3,537,Southpaw,177.8,187.96,26,32,,,,
1000,Dustin Hazelett,Tamdan McCrory,Red,FALSE,1,21.66666667,19,607.6666667,Switch,193.04,198.12,1,16.83333333,14,392.1666667,Orthodox,185.42,193.04,22,22,,,,
999,Gabriel Gonzaga,Josh Hendricks,Red,FALSE,0,,,,Southpaw,187.96,,1,14,19.85714286,440.5714286,Orthodox,187.96,193.04,32,29,,,,
998,Demian Maia,Nate Quarry,Red,FALSE,2,35,16,349,Open Stance,182.88,182.88,3,16,8,457,Southpaw,185.42,182.88,36,31,,,,
997,Aaron Riley,Jorge Gurgel,Red,FALSE,-1,47.66666667,46.16666667,898,Orthodox,170.18,175.26,-2,32,44.5,600,Southpaw,172.72,175.26,31,27,,,,
996,Jeremy Stephens,Rafael Dos Anjos,Red,FALSE,0,,,,Southpaw,172.72,177.8,-1,27.5,20.5,712,Orthodox,172.72,180.34,24,22,,,,
995,Mark Bocek,Alvin Robinson,Red,FALSE,-1,17.33333333,8.666666667,463,Southpaw,175.26,172.72,-1,18,33,674.3333333,Orthodox,172.72,190.5,26,27,,,,
994,Matt Brown,Ryan Thomas,Red,FALSE,-1,12,41,448,Orthodox,182.88,,-1,40,19,710,Orthodox,182.88,190.5,24,27,,,,
993,Anderson Silva,Patrick Cote,Red,TRUE,4,22.75,20,610.25,Orthodox,180.34,180.34,7,23.71428571,9.142857143,281.2857143,Southpaw,187.96,195.58,28,33,,,,
992,Thiago Alves,Josh Koscheck,Red,FALSE,2,18.36363636,11.45454545,598.6363636,Orthodox,177.8,185.42,6,24.2,17.4,457.9,Orthodox,175.26,177.8,30,25,,,,
991,Gray Maynard,Rich Clementi,Red,FALSE,4,20.375,28.375,674.5,Southpaw,175.26,182.88,3,17,11.25,537,Orthodox,175.26,177.8,32,29,,,,
990,Junior Dos Santos,Fabricio Werdum,Red,FALSE,2,28,20.66666667,584.6666667,Orthodox,193.04,195.58,0,,,,Orthodox,193.04,195.58,31,24,,,,
989,Sean Sherk,Tyson Griffin,Red,FALSE,4,44.83333333,23.5,768.3333333,Orthodox,167.64,172.72,-1,28.66666667,35.77777778,946.2222222,Orthodox,167.64,170.18,24,35,,,,
988,Thales Leites,Drew McFedries,Red,FALSE,-1,13.66666667,10.83333333,131,Southpaw,182.88,182.88,4,26.2,30.6,631.4,Orthodox,185.42,198.12,30,27,,,,
987,Spencer Fisher,Shannon Gugerty,Red,FALSE,1,3,1,213,Orthodox,177.8,180.34,1,33.88888889,30.44444444,634.1111111,Southpaw,170.18,177.8,26,32,,,,
986,Dan Miller,Matt Horwich,Red,FALSE,0,,,,Orthodox,185.42,,1,0,0,87,Orthodox,185.42,187.96,30,27,,,,
985,Hermes Franca,Marcus Aurelio,Red,FALSE,-1,21.5,35.5,521.25,Orthodox,177.8,187.96,-2,20.77777778,32,840.7777778,Orthodox,167.64,180.34,35,34,,,,
984,Pete Sell,Joshua Burkman,Red,FALSE,-2,25.11111111,26.55555556,641.2222222,Orthodox,177.8,182.88,-4,21.2,33.2,590,Orthodox,180.34,190.5,28,26,,,,
983,Michael Bisping,Chris Leben,Red,FALSE,2,22.72727273,17.63636364,460.3636364,Southpaw,180.34,187.96,2,35.28571429,15.14285714,505.7142857,Orthodox,185.42,190.5,28,29,,,,
982,Keith Jardine,Brandon Vera,Red,FALSE,1,24.14285714,19.71428571,413.5714286,Orthodox,190.5,193.04,-1,42.625,24,559.125,Orthodox,187.96,193.04,31,32,,,,
981,Luiz Cane,Rameau Thierry Sokoudjou,Red,FALSE,1,16,13.5,430,Orthodox,177.8,198.12,1,12,6.5,119,Southpaw,187.96,195.58,24,27,,,,
980,Chris Lytle,Paul Taylor,Red,FALSE,1,45.5,43.75,672.75,Orthodox,182.88,182.88,-1,18.08333333,18.91666667,590,Orthodox,180.34,172.72,28,34,,,,
