Fight_ID,R_fighter,B_fighter,Winner,title_bout
4850,Liu Pingyuan,Martin Day,Red,FALSE
4849,Yan Xiaonan,Syuri Kondo,Red,FALSE
4848,Kevin Holland,John Phillips,Red,FALSE
4847,Su Mudaerji,Louis Smolka,Blue,FALSE
4846,Neil Magny,Santiago Ponzinibbio,Blue,FALSE
4845,Ricardo Lamas,Darren Elkins,Red,FALSE
4844,Khalil Rountree Jr.,Johnny Walker,Blue,FALSE
4843,Cezar Ferreira,Ian Heinisch,Blue,FALSE
4842,Guido Cannetti,Marlon Vera,Blue,FALSE
4841,Cynthia Calvillo,Poliana Botelho,Red,FALSE
4840,Michel Prazeres,Bartosz Fabinski,Red,FALSE
4839,Alexandre Pantoja,Ulka Sasaki,Red,FALSE
4838,Humberto Bandenay,Austin Arnett,Blue,FALSE
4837,Laureano Staropoli,Hector Aldana,Red,FALSE
4836,Devin Powell,Jesus Pinedo,Blue,FALSE
4835,Nad Narimani,Anderson Dos Santos,Red,FALSE
4834,Chan Sung Jung,Yair Rodriguez,Blue,FALSE
4833,Donald Cerrone,Mike Perry,Red,FALSE
4832,Raquel Pennington,Germaine de Randamie,Blue,FALSE
4831,Beneil Dariush,Thiago Moises,Red,FALSE
4830,Maycee Barber,Hannah Cifers,Red,FALSE
4829,Michael Trizano,Luis Pena,Red,FALSE
4828,Ashley Yoder,Amanda Cooper,Red,FALSE
4827,Chas Skelly,Bobby Moffett,Blue,FALSE
4826,Davi Ramos,John Gunther,Red,FALSE
4825,Devonte Smith,Julian Erosa,Red,FALSE
4824,Joseph Morales,Eric Shelton,Blue,FALSE
4823,Mark De La Rosa,Joby Sanchez,Red,FALSE
4822,Daniel Cormier,Derrick Lewis,Red,TRUE
4821,Chris Weidman,Jacare Souza,Blue,FALSE
4820,David Branch,Jared Cannonier,Blue,FALSE
4819,Karl Roberson,Jack Marshman,Red,FALSE
4818,Derek Brunson,Israel Adesanya,Blue,FALSE
4817,Jason Knight,Jordan Rinaldi,Blue,FALSE
4816,Sijara Eubanks,Roxanne Modafferi,Red,FALSE
4815,Julio Arce,Sheymon Moraes,Blue,FALSE
4814,Lyman Good,Ben Saunders,Red,FALSE
4813,Matt Frevola,Lando Vannata,Draw,FALSE
4812,Shane Burgos,Kurt Holobaugh,Red,FALSE
4811,Adam Wieczorek,Marcos Rogerio de Lima,Blue,FALSE
4810,Volkan Oezdemir,Anthony Smith,Blue,FALSE
4809,Michael Johnson,Artem Lobov,Red,FALSE
4808,Misha Cirkunov,Patrick Cummins,Red,FALSE
4807,Andre Soukhamthath,Jonathan Martinez,Red,FALSE
4806,Gian Villante,Ed Herman,Red,FALSE
4805,Alex Garcia,Court McGee,Blue,FALSE
4804,Nordine Taleb,Sean Strickland,Blue,FALSE
4803,Thibault Gouti,Nasrat Haqparast,Blue,FALSE
4802,Calvin Kattar,Chris Fishgold,Red,FALSE
4801,Sarah Moras,Talita Bernardo,Blue,FALSE
4800,Te Edwards,Don Madge,Blue,FALSE
4799,Arjan Bhullar,Marcelo Golm,Red,FALSE
4798,Stevie Ray,Jessin Ayari,Red,FALSE
4797,Khabib Nurmagomedov,Conor McGregor,Red,TRUE
4796,Tony Ferguson,Anthony Pettis,Red,FALSE
4795,Ovince Saint Preux,Dominick Reyes,Blue,FALSE
4794,Derrick Lewis,Alexander Volkov,Red,FALSE
4793,Michelle Waterson,Felice Herrig,Red,FALSE
4792,Sergio Pettis,Jussier Formiga,Blue,FALSE
4791,Vicente Luque,Jalin Turner,Red,FALSE
4790,Aspen Ladd,Tonya Evinger,Red,FALSE
4789,Scott Holtzman,Alan Patrick,Red,FALSE
4788,Lina Lansberg,Yana Kunitskaya,Blue,FALSE
4787,Gray Maynard,Nik Lentz,Blue,FALSE
4786,Ryan LaFlare,Anthony Rocco Martin,Blue,FALSE
4785,Thiago Santos,Eryk Anders,Red,FALSE
4784,Alex Oliveira,Carlo Pedersoli,Red,FALSE
4783,Sam Alvey,Rogerio Nogueira,Blue,FALSE
4782,Renan Barao,Andre Ewell,Blue,FALSE
4781,Randa Markos,Marina Rodriguez,Draw,FALSE
4780,Charles Oliveira,Christos Giagos,Red,FALSE
4779,Francisco Trinaldo,Evan Dunham,Red,FALSE
4778,Luis Henrique,Ryan Spann,Blue,FALSE
4777,Augusto Sakai,Chase Sherman,Red,FALSE
4776,Sergio Moraes,Ben Saunders,Red,FALSE
4775,Mayra Bueno Silva,Gillian Robertson,Red,FALSE
4774,Thales Leites,Hector Lombard,Red,FALSE
4773,Elizeu Zaleski dos Santos,Luigi Vendramini,Red,FALSE
4772,Livinha Souza,Alex Chambers,Red,FALSE
4771,Mark Hunt,Aleksei Oleinik,Blue,FALSE
4770,Jan Blachowicz,Nikita Krylov,Red,FALSE
4769,Andrei Arlovski,Shamil Abdurakhimov,Blue,FALSE
4768,Aleksei Kunchenko,Thiago Alves,Red,FALSE
4767,Khalid Murtazaliev,CB Dollaway,Red,FALSE
4766,Petr Yan,Jin Soo Son,Red,FALSE
4765,Rustam Khabilov,Kajan Johnson,Red,FALSE
4764,Mairbek Taisumov,Desmond Green,Red,FALSE
4763,Magomed Ankalaev,Marcin Prachnio,Red,FALSE
4762,Adam Yandiev,Jordan Johnson,Blue,FALSE
4761,Ramazan Emeev,Stefan Sekulic,Red,FALSE
4760,Merab Dvalishvili,Terrion Ware,Red,FALSE
4759,Tyron Woodley,Darren Till,Red,TRUE
4758,Jessica Andrade,Karolina Kowalkiewicz,Red,FALSE
4757,Zabit Magomedsharipov,Brandon Davis,Red,FALSE
4756,Jimmie Rivera,John Dodson,Red,FALSE
