fight_id,r_fighter,r_current_streak,r_avg_sig_str_landed,r_avg_opp_sig_str_landed,r_total_time_fought_seconds,r_stance,r_height_cms,r_reach_cms,r_age,r_record,r_takedown_diff,b_fighter,b_current_streak,b_avg_sig_str_landed,b_avg_opp_sig_str_landed,b_total_time_fought_seconds,b_stance,b_height_cms,b_reach_cms,b_age,b_record,b_takedown_diff,winner,title_bout
5075,Andrei Arlovski,-3,26.75,22.32142857,521.1785714,Orthodox,190.5,195.58,40,4,-0.142857143,Augusto Sakai,1,111,79,843,Orthodox,190.5,195.58,27,1,1,Blue,f
5074,Carla Esparza,-2,29,43,816.5714286,,154.94,160.02,31,-1,0.571428571,Virna Jandiroba,0,,,,Orthodox,160.02,162.56,30,0,0,Red,f
5073,Gilbert Burns,1,31.7,35.2,615,Orthodox,177.8,180.34,32,4,0.8,Mike Davis,0,,,,Orthodox,182.88,182.88,26,0,0,Red,f
5072,Jim Miller,-1,28.58064516,29.61290323,616.6774194,Southpaw,172.72,180.34,35,5,-0.064516129,Jason Gonzalez,-1,12,13.66666667,256.6666667,Southpaw,187.96,187.96,29,-1,-1.666666667,Red,f
5071,Angela Hill,-2,69.55555556,66,747.8888889,Orthodox,160.02,162.56,34,-3,-1,Jodie Esquibel,-2,73,127.5,900,Orthodox,154.94,162.56,32,-2,-0.5,Red,f
5070,Court McGee,1,63.78571429,46.42857143,811.2142857,Orthodox,180.34,190.5,34,2,1.071428571,Dhiego Lima,1,15.42857143,17.85714286,361.8571429,Orthodox,187.96,187.96,30,-3,-0.285714286,Blue,f
5069,Alistair Overeem,1,29.46666667,18.93333333,478.4,Orthodox,193.04,203.2,38,3,-0.2,Aleksei Oleinik,2,17.25,18.5,338.75,Orthodox,187.96,203.2,41,4,0.125,Red,f
5068,Islam Makhachev,4,16.83333333,6.166666667,450.6666667,Orthodox,177.8,177.8,27,4,2.166666667,Arman Tsarukyan,0,,,,Orthodox,170.18,182.88,22,0,0,Red,f
5067,Sergei Pavlovich,-1,13,22,261,Southpaw,190.5,213.36,26,-1,-1,Marcelo Golm,-2,45.66666667,42,642.6666667,Orthodox,190.5,190.5,26,-1,0,Red,f
5066,Roxanne Modafferi,-1,63.25,86.75,953,,170.18,175.26,36,-2,-0.75,Antonina Shevchenko,1,66,33,900,Southpaw,172.72,170.18,34,1,2,Red,f
5065,Krzysztof Jotko,-3,34.5,22.8,723.9,Southpaw,185.42,195.58,29,2,0.2,Alen Amedovski,0,,,,Orthodox,177.8,187.96,31,0,0,Red,f
5064,Movsar Evloev,0,,,,Orthodox,170.18,182.88,25,0,0,Seungwoo Choi,0,,,,Orthodox,182.88,187.96,26,0,0,Red,f
5063,Sultan Aliev,-1,11.66666667,21.66666667,554,Orthodox,180.34,187.96,34,-1,1,Keita Nakamura,1,30.8,49.9,853.6,Southpaw,180.34,185.42,34,-2,0.7,Red,f
5062,Alexander Yakovlev,-2,23,33.16666667,730.1666667,Southpaw,190.5,187.96,34,-2,-0.5,Alex Da Silva,0,,,,Orthodox,172.72,185.42,23,0,0,Red,f
5061,Marcin Tybura,1,52.71428571,43.71428571,878.1428571,Orthodox,190.5,198.12,33,1,0.857142857,Shamil Abdurakhimov,2,28.5,26.16666667,700.5,Orthodox,190.5,193.04,37,2,0.5,Blue,f
5060,Gadzhimurad Antigulov,-1,4.666666667,14.33333333,157.6666667,Orthodox,180.34,177.8,32,1,1.666666667,Michal Oleksiejczuk,1,45,30.5,497,Southpaw,182.88,187.96,24,0,1,Blue,f
5059,Magomed Mustafaev,-1,18.66666667,19.33333333,396.3333333,Orthodox,172.72,180.34,30,1,-3,Rafael Fiziev,0,,,,Switch,172.72,180.34,26,0,0,Red,f
5058,Max Holloway,13,85.63157895,50.05263158,744.5789474,Orthodox,180.34,175.26,27,13,-0.684210526,Dustin Poirier,3,52.38095238,34.28571429,540.8571429,Southpaw,175.26,182.88,30,11,0.571428571,Blue,t
5057,Kelvin Gastelum,2,45.5,33.78571429,707.4285714,Southpaw,175.26,180.34,27,6,-1,Israel Adesanya,5,61.2,28.4,821.6,Switch,193.04,203.2,29,5,-1.2,Blue,t
5056,Eryk Anders,-2,45.5,56.83333333,876,Southpaw,185.42,190.5,31,0,1.166666667,Khalil Rountree Jr.,-1,14.28571429,20.42857143,372.5714286,Southpaw,185.42,193.04,29,-1,-1.428571429,Blue,f
5055,Alan Jouban,1,42.81818182,27.54545455,474.5454545,Southpaw,182.88,185.42,37,3,-0.272727273,Dwight Grant,1,22.5,15.5,599.5,Switch,185.42,193.04,34,0,-0.5,Blue,f
5054,Ovince Saint Preux,-1,24.55555556,30.61111111,565.7222222,Southpaw,190.5,203.2,36,4,-0.666666667,Nikita Krylov,-2,27.1,12.7,290.8,Orthodox,190.5,195.58,27,2,-1,Blue,f
5053,Jalin Turner,1,20,22,142.5,Southpaw,190.5,195.58,23,0,0,Matt Frevola,-2,37.5,42.5,480,Orthodox,175.26,180.34,28,-2,0.5,Blue,f
